epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.4843,0.53841,0.63692,1,0.98869,0.00035007,0.00035007,0.00035007
2,28.5338,0.18849,0.71692,1,0.73966,0.000702617,0.000702617,0.000702617
3,38.6599,0.20641,0.69538,1,0.91325,0.00104064,0.00104064,0.00104064
4,49.295,0.18377,0.71077,1,1.33358,0.00136414,0.00136414,0.00136414
5,60.6111,0.2525,0.67077,1,2.20443,0.00153497,0.00153497,0.00153497
6,77.0509,0.22032,0.6,1,5.83724,0.00150197,0.00150197,0.00150197
7,89.483,0.27302,0.62769,1,1.58724,0.00146896,0.00146896,0.00146896
8,100.854,0.24836,0.8,1,0.89461,0.00143595,0.00143595,0.00143595
9,110.58,0.26185,0.70769,1,0.67961,0.00140295,0.00140295,0.00140295
10,121.999,0.2099,0.69846,1,1.00928,0.00136994,0.00136994,0.00136994
11,133.937,0.1737,0.71077,1,0.89075,0.00133693,0.00133693,0.00133693
12,141.203,0.24158,0.76308,1,0.57145,0.00130393,0.00130393,0.00130393
13,153.33,0.19454,0.71385,1,0.85938,0.00127092,0.00127092,0.00127092
14,163.431,0.15762,0.61846,1,1.63688,0.00123791,0.00123791,0.00123791
15,171.35,0.12985,0.76923,1,0.70032,0.00120491,0.00120491,0.00120491
16,181.429,0.11801,0.71692,1,0.88088,0.0011719,0.0011719,0.0011719
17,193.566,0.12045,0.72615,1,0.7666,0.00113889,0.00113889,0.00113889
18,205.467,0.09231,0.74769,1,0.80306,0.00110589,0.00110589,0.00110589
19,212.919,0.10669,0.73231,1,0.78524,0.00107288,0.00107288,0.00107288
20,221.763,0.0966,0.76,1,1.11214,0.00103987,0.00103987,0.00103987
21,232.493,0.09831,0.76923,1,1.06185,0.00100687,0.00100687,0.00100687
22,243.747,0.06931,0.76308,1,0.91536,0.000973861,0.000973861,0.000973861
23,253.916,0.05829,0.78769,1,0.61865,0.000940855,0.000940855,0.000940855
24,264.014,0.0727,0.70769,1,1.25968,0.000907848,0.000907848,0.000907848
25,274.798,0.03713,0.74154,1,1.66479,0.000874842,0.000874842,0.000874842
26,286.546,0.03579,0.77846,1,0.93197,0.000841835,0.000841835,0.000841835
27,295.663,0.0507,0.79385,1,0.70154,0.000808828,0.000808828,0.000808828
28,305.81,0.06793,0.78769,1,0.80229,0.000775822,0.000775822,0.000775822
29,316.282,0.06969,0.76308,1,0.77661,0.000742815,0.000742815,0.000742815
30,326.496,0.04522,0.81846,1,0.77913,0.000709809,0.000709809,0.000709809
31,336.812,0.04439,0.79692,1,1.03369,0.000676802,0.000676802,0.000676802
32,345.107,0.04313,0.83077,1,0.61501,0.000643795,0.000643795,0.000643795
33,356.281,0.04737,0.82769,1,0.68994,0.000610789,0.000610789,0.000610789
34,366.553,0.04371,0.8,1,0.84985,0.000577782,0.000577782,0.000577782
35,377.411,0.04662,0.79077,1,0.80062,0.000544776,0.000544776,0.000544776
36,387.506,0.0428,0.77538,1,0.88387,0.000511769,0.000511769,0.000511769
37,398.511,0.01138,0.79692,1,0.63961,0.000478762,0.000478762,0.000478762
38,408.781,0.02525,0.80615,1,0.95052,0.000445756,0.000445756,0.000445756
39,416.694,0.02989,0.80308,1,0.73478,0.000412749,0.000412749,0.000412749
40,427.813,0.03398,0.82462,1,0.66366,0.000379743,0.000379743,0.000379743
41,487.412,0.03597,0.83385,1,0.69068,0.000346736,0.000346736,0.000346736
42,496.7,0.01702,0.82462,1,0.9185,0.000313729,0.000313729,0.000313729
43,507.597,0.02289,0.79077,1,0.75094,0.000280723,0.000280723,0.000280723
44,518.453,0.02241,0.79692,1,0.78467,0.000247716,0.000247716,0.000247716
45,529.981,0.01764,0.8,1,0.9329,0.00021471,0.00021471,0.00021471
46,540.172,0.01702,0.78154,1,0.8077,0.000181703,0.000181703,0.000181703
47,549.951,0.02332,0.80615,1,0.75545,0.000148696,0.000148696,0.000148696
48,559.877,0.01482,0.80615,1,0.71574,0.00011569,0.00011569,0.00011569
49,569.014,0.01163,0.82154,1,0.70384,8.26832e-05,8.26832e-05,8.26832e-05
50,578.46,0.01496,0.82462,1,0.65747,4.96766e-05,4.96766e-05,4.96766e-05
