epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,79.5052,0.37303,0.78973,1,0.4595,0.000551425,0.000551425,0.000551425
2,160.414,0.28831,0.89406,1,0.2658,0.00109613,0.00109613,0.00109613
3,247.849,0.33773,0.74157,1,0.71317,0.00162984,0.00162984,0.00162984
4,322.848,0.35298,0.85554,1,0.34158,0.00161749,0.00161749,0.00161749
5,396.681,0.2769,0.82825,1,0.35301,0.00160099,0.00160099,0.00160099
6,470.652,0.28984,0.80578,1,0.35628,0.00158448,0.00158448,0.00158448
7,547.227,0.2629,0.83146,1,0.34681,0.00156798,0.00156798,0.00156798
8,623.578,0.22509,0.80738,1,0.4403,0.00155148,0.00155148,0.00155148
9,700.611,0.26508,0.86196,1,0.29207,0.00153497,0.00153497,0.00153497
10,777.463,0.20712,0.86356,1,0.34874,0.00151847,0.00151847,0.00151847
11,854.776,0.22976,0.83307,1,0.32576,0.00150197,0.00150197,0.00150197
12,932.442,0.22971,0.89406,1,0.23992,0.00148546,0.00148546,0.00148546
13,1011.44,0.19317,0.91332,1,0.17965,0.00146896,0.00146896,0.00146896
14,1090.71,0.18645,0.92937,1,0.19446,0.00145246,0.00145246,0.00145246
15,1170.87,0.18225,0.93258,1,0.15399,0.00143595,0.00143595,0.00143595
16,1251.12,0.17433,0.91974,1,0.17874,0.00141945,0.00141945,0.00141945
17,1327.83,0.14188,0.93098,1,0.19185,0.00140295,0.00140295,0.00140295
18,1406.06,0.15591,0.9053,1,0.23918,0.00138644,0.00138644,0.00138644
19,1486.83,0.14874,0.90048,1,0.20441,0.00136994,0.00136994,0.00136994
20,1564.33,0.12891,0.92616,1,0.17574,0.00135344,0.00135344,0.00135344
21,1643.08,0.1644,0.93098,1,0.17343,0.00133693,0.00133693,0.00133693
22,1720.08,0.15441,0.93258,1,0.17247,0.00132043,0.00132043,0.00132043
23,1798.28,0.13436,0.92295,1,0.17443,0.00130393,0.00130393,0.00130393
24,1874.88,0.14454,0.93419,1,0.16514,0.00128742,0.00128742,0.00128742
25,1952.91,0.14973,0.93419,1,0.15113,0.00127092,0.00127092,0.00127092
26,2031.19,0.1073,0.91974,1,0.22464,0.00125442,0.00125442,0.00125442
27,2108.7,0.10419,0.94382,1,0.14548,0.00123791,0.00123791,0.00123791
28,2186.79,0.09387,0.93579,1,0.16879,0.00122141,0.00122141,0.00122141
29,2264.63,0.12394,0.96148,1,0.11722,0.00120491,0.00120491,0.00120491
30,2344.71,0.10147,0.94382,1,0.12808,0.0011884,0.0011884,0.0011884
31,2422.35,0.10817,0.93258,1,0.15274,0.0011719,0.0011719,0.0011719
32,2501.41,0.10495,0.95024,1,0.11647,0.0011554,0.0011554,0.0011554
33,2579.4,0.10634,0.93419,1,0.1573,0.00113889,0.00113889,0.00113889
34,2657.03,0.10148,0.91011,1,0.25036,0.00112239,0.00112239,0.00112239
35,2734.1,0.10219,0.93098,1,0.16823,0.00110589,0.00110589,0.00110589
36,2810.94,0.0998,0.94703,1,0.15189,0.00108938,0.00108938,0.00108938
37,2892.58,0.06481,0.95987,1,0.12637,0.00107288,0.00107288,0.00107288
38,2972.11,0.06775,0.95345,1,0.09972,0.00105638,0.00105638,0.00105638
39,3049.52,0.0767,0.94864,1,0.1125,0.00103987,0.00103987,0.00103987
40,3127.6,0.09806,0.93419,1,0.18367,0.00102337,0.00102337,0.00102337
41,3207.64,0.09594,0.95185,1,0.10514,0.00100687,0.00100687,0.00100687
42,3285.57,0.07566,0.96148,1,0.10852,0.000990365,0.000990365,0.000990365
43,3363.95,0.09638,0.95987,1,0.11839,0.000973861,0.000973861,0.000973861
44,3445.13,0.07192,0.96148,1,0.10216,0.000957358,0.000957358,0.000957358
45,3523.04,0.0747,0.96148,1,0.13694,0.000940855,0.000940855,0.000940855
46,3602.75,0.05518,0.95345,1,0.16122,0.000924352,0.000924352,0.000924352
47,3682.88,0.06935,0.94222,1,0.18631,0.000907848,0.000907848,0.000907848
48,3762.14,0.06668,0.96469,1,0.1,0.000891345,0.000891345,0.000891345
49,3840.91,0.08717,0.95345,1,0.11864,0.000874842,0.000874842,0.000874842
50,3922.15,0.05751,0.95666,1,0.09691,0.000858338,0.000858338,0.000858338
51,4002.29,0.0644,0.96629,1,0.10366,0.000841835,0.000841835,0.000841835
52,4082.52,0.05558,0.9679,1,0.07725,0.000825332,0.000825332,0.000825332
53,4162.94,0.08161,0.95827,1,0.1423,0.000808828,0.000808828,0.000808828
54,4244.16,0.06243,0.96629,1,0.09895,0.000792325,0.000792325,0.000792325
55,4325.36,0.04971,0.96629,1,0.11571,0.000775822,0.000775822,0.000775822
56,4404.92,0.07068,0.97913,1,0.07768,0.000759318,0.000759318,0.000759318
57,4488.45,0.03159,0.97111,1,0.06919,0.000742815,0.000742815,0.000742815
58,4567.06,0.04918,0.97111,1,0.11695,0.000726312,0.000726312,0.000726312
59,4645.88,0.07118,0.96469,1,0.11157,0.000709809,0.000709809,0.000709809
60,4724.05,0.05679,0.97432,1,0.07757,0.000693305,0.000693305,0.000693305
61,4803.33,0.03393,0.97432,1,0.07534,0.000676802,0.000676802,0.000676802
62,4881.25,0.03632,0.97271,1,0.08293,0.000660299,0.000660299,0.000660299
63,4962.5,0.05066,0.9695,1,0.09174,0.000643795,0.000643795,0.000643795
64,5044.82,0.0459,0.96148,1,0.08463,0.000627292,0.000627292,0.000627292
65,5124.3,0.03867,0.97271,1,0.0878,0.000610789,0.000610789,0.000610789
66,5204.1,0.0432,0.9695,1,0.08605,0.000594286,0.000594286,0.000594286
67,5285.02,0.03723,0.98074,1,0.0697,0.000577782,0.000577782,0.000577782
68,5365.26,0.0235,0.97271,1,0.10142,0.000561279,0.000561279,0.000561279
69,5444.83,0.03828,0.97592,1,0.06893,0.000544776,0.000544776,0.000544776
70,5526.56,0.05601,0.97913,1,0.05401,0.000528272,0.000528272,0.000528272
71,5606.93,0.03258,0.97432,1,0.07453,0.000511769,0.000511769,0.000511769
72,5686.68,0.03163,0.97271,1,0.09286,0.000495266,0.000495266,0.000495266
73,5765.96,0.02758,0.9695,1,0.08318,0.000478762,0.000478762,0.000478762
